h_number,h_name,h_score,h_price,h_address,h_link
3-1,成都尊悦豪生酒店,4.9,538,位于一品天下，成都金牛区迎宾大道528号，迎宾大道地铁站A口附近,http://hotel.qunar.com/city/chengdu/dt-13931/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-2,一品云墅国际公寓(成都春熙路店),4.9,439,位于春熙路，成都青羊区三桂前街99号，靠近四川国际大厦,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-20174/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-3,成都茂业JW万豪酒店,4.7,1047,位于春熙路，成都锦江区东御街19号，靠近壹购潮流广场,http://hotel.qunar.com/city/chengdu/dt-18692/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-4,成都航宸国际酒店,4.7,260,位于簇桥，成都武侯区鞋都南一路1号,http://hotel.qunar.com/city/chengdu/dt-24742/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-5,如家精选酒店成都太古里天祥街店,4.8,248,位于春熙路，成都成华区天祥街168号，靠近四川电视塔,http://hotel.qunar.com/city/chengdu/dt-17455/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-6,成都仁恒辉盛阁国际公寓,4.8,730,位于华西坝，成都锦江区指挥街111号，靠近仁恒置地广场,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-1505/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-7,成都春熙美居酒店,4.8,398,位于春熙路，成都锦江区暑袜北三街20号东楼，紧邻春熙路步行街，紧挨蜀都大厦,http://hotel.qunar.com/city/chengdu/dt-44812/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-8,成都金牛智选假日酒店,4.8,339,位于金牛区，成都金牛区蜀西路46号,http://hotel.qunar.com/city/chengdu/dt-17049/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-9,成都蜀悦假日酒店,4.8,225,位于建设路，成都成华区建兴路76号汇富大厦17楼，华西中学电子科技大学附中…,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-28075/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-10,成都宽窄巷子希尔顿欢朋酒店,4.9,428,位于宽窄巷子，成都金牛区马家花园路11号，靠近青羊体育中心,http://hotel.qunar.com/city/chengdu/dt-17450/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
3-11,如家素柏·云酒店(成都昭觉寺南路地铁站驷马桥店),4.6,296,位于成华区，成都成华区驷马桥羊子山路297号,http://hotel.qunar.com/city/chengdu/dt-18611/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=fd05191c-66a8-452e-aebb-723ec86dc98b&showMap=0&qptype=&QHFP=ZSS_A1001898/
